"일시","평균기온C","평균현지기압hPa","평균수증기압hPa","평균상대습도","월합강수량0024h만mm","평균풍속ms","평균운량","월적설량합","평균지면온도C"
"2005-05",17.7,1000.4,10.8,55,85.8,2.4,4.1,NA,21.5
"2005-06",22.7,995.9,19,69,168.5,2.4,6.3,NA,26.1
"2005-07",25.3,996.4,24.8,76,269.4,2.2,7.2,NA,27
"2005-08",25.1,998.8,24.4,75,285,2.6,6.9,NA,26.2
"2005-09",21.8,1005.2,18.6,71,313.3,2.3,6.4,NA,23
"2005-10",14.7,1009.8,11,65,52.6,1.7,3.4,NA,15.4
"2005-11",8.6,1010.1,6.7,55,44.6,2.2,2.9,NA,7.8
"2005-12",-3.9,1014.1,2.4,51,10.3,2.5,2.2,13.5,-3.8
"2006-01",-0.2,1014.4,3.6,57,34.3,2.1,4,1.5,-1.5
"2006-02",0.1,1015,3.5,53,15.7,2.6,4.3,9,0.2
"2006-03",5.2,1006.3,4.5,51,14,2.9,4.2,4.3,6.1
"2006-04",11.6,1000.7,7.5,55,51.8,3,5.9,NA,13
"2006-05",18.4,1002.1,12,57,156.2,2.5,5.2,NA,21.2
"2006-06",21.8,997.2,17.6,68,168.5,2.2,6.1,NA,24.3
"2006-07",23.1,996.3,23.4,82,1014,2.3,8.7,NA,23.9
"2006-08",27,998.7,24.8,69,121.2,2.1,5.4,NA,29.1
"2006-09",21.1,1004.8,14.5,58,11.1,2.1,4.7,NA,23.5
"2006-10",17.9,1008.7,12.9,62,30.2,2,3.2,NA,19.1
"2006-11",8.4,1009.5,6.7,58,47.6,2.4,4.3,0.2,8.1
"2006-12",1.4,1015.8,4.2,59,17.3,2.1,3.7,13.6,1.5
"2007-01",0.4,1015.6,3.6,56,10.8,2,3.5,8,0.4
"2007-02",4,1010.6,4.4,53,12.6,2.3,3.3,NA,4
"2007-03",6.1,1007.5,5.9,60,123.5,2.7,5.2,1.9,6.9
"2007-04",11.4,1005.6,7.1,53,41.1,2.8,4.8,NA,13.4
"2007-05",18.1,997.8,12.6,62,137.6,2.6,5.5,NA,19.9
"2007-06",23.2,998.5,17.1,61,54.5,2.3,6.1,NA,26
"2007-07",24.2,994.7,22.6,75,274.1,2.4,7.6,NA,25.2
"2007-08",26.5,998.7,26.1,75,237.6,2.6,6.9,NA,26.6
"2007-09",21.5,1002.5,19.2,74,241.9,2.5,7.3,NA,21.8
"2007-10",15.1,1009.4,11.1,63,39.5,2.1,4.9,NA,15.2
"2007-11",6.7,1013.2,5.6,55,26.4,2.2,3.1,3.2,6
"2007-12",1.8,1011.8,4.3,60,12.7,2.4,4,2.8,0.7
"2008-01",-1.7,1015.5,2.8,50,17.7,2.3,4.5,15.7,-1.8
"2008-02",-1.2,1014.2,2.6,46,15,2.7,2.3,8.3,0.1
"2008-03",7.3,1007.9,5.6,56,53.9,2.6,4.2,1,8
"2008-04",14.1,1005,7.8,50,38.5,2.7,4.6,NA,15.2
"2008-05",17.7,1000.1,11.6,58,97.7,2.7,4.8,NA,20.5
"2008-06",21.5,999.2,16.3,65,165,2.7,6.5,NA,23.3
"2008-07",25.1,997.3,24.6,78,530.8,2.4,8.2,NA,25.7
"2008-08",25.3,997.8,22,70,251.2,2.5,5.4,NA,26.4
"2008-09",22,1003.4,16.9,64,99.2,1.9,5.2,NA,22.5
"2008-10",16.1,1008.5,11.4,62,41.8,2,3.9,NA,16.4
"2008-11",7.6,1011.5,6.3,58,19.6,2.2,4.3,NA,6.7
"2008-12",1.1,1012.7,4.1,56,25.9,2.5,4.3,6.8,-0.4
"2009-01",-2,1014.5,2.8,50,5.7,2.5,2.5,9.5,-3.3
"2009-02",2.9,1009.8,4.6,57,36.9,2.5,5.3,3.5,2.5
"2009-03",6,1008.7,5.1,52,63.9,3.1,4.4,0.3,6.7
"2009-04",12.7,1004.9,7.5,54,66.5,2.6,4.1,NA,14.4
"2009-05",19.1,1002,12.2,59,109,2.5,4.3,NA,21.1
"2009-06",22.4,995.1,17.6,66,132,2.5,5.4,NA,24.8
"2009-07",24.3,995.3,22.6,76,659.4,2.3,6.7,NA,25.1
"2009-08",25.7,998.9,22.5,69,285.3,2.2,5.6,NA,26.7
"2009-09",21.8,1003.8,16.3,64,64.5,1.8,4,NA,23.1
"2009-10",16,1006.5,11,62,66.9,2.1,2.5,NA,16.2
"2009-11",6.9,1013,7.2,64,52.4,2.5,5.1,NA,6.6
"2009-12",-1,1012,3.9,60,21.5,2.5,3.8,4,-0.8
"2010-01",-4.5,1013.6,3.1,65,29.3,2.3,3.7,29,-1.2
"2010-02",1.4,1010.7,4.5,59,55.3,2.4,4.8,15.4,1.4
"2010-03",4.3,1009.6,4.9,59,82.5,2.9,6.2,19.1,5
"2010-04",9.5,1007.4,6.5,54,62.8,2.9,5.2,NA,10.8
"2010-05",17.2,1000.6,11.9,62,124,2.6,5.4,NA,18.7
"2010-06",23.4,999.5,17.2,62,127.6,2.1,5,NA,26.1
"2010-07",25.8,997.7,24.1,74,239.2,2.5,7.4,NA,27.6
"2010-08",26.5,1000.3,26.5,78,598.7,2.4,7.6,NA,28.3
"2010-09",21.8,1003.4,19.2,72,671.5,2.3,5.9,NA,23.7
"2010-10",14.5,1008.9,10.5,61,25.6,2.2,3.7,NA,15.9
"2010-11",6.5,1010.7,5.7,55,10.9,2.8,3.4,1.3,6.1
"2010-12",-1.3,1007.1,3.6,56,16.1,3,4.1,23.5,-0.9
"2011-01",-7.2,1016.1,2,54,8.9,2.8,2.7,12.2,-4.7
"2011-02",1.2,1011.3,3.7,55,29.1,2.6,4,0.2,1.7
"2011-03",3.6,1010.7,4.1,51,14.6,3.4,3.3,2.5,6.4
"2011-04",10.7,1003.8,6.8,54,110.1,3.2,4.7,NA,13.6
"2011-05",17.9,1000.8,11.1,57,53.4,2.8,5.6,NA,21
"2011-06",22,996.7,17,67,404.5,2.9,6.1,NA,25.8
"2011-07",24.6,996,24,79,1131,2.4,8,NA,26.5
"2011-08",25.8,998.6,24.3,74,166.8,2.5,7.5,NA,27.5
"2011-09",21.8,1002.9,15.1,58,25.6,2.4,4.5,NA,25.1
"2011-10",14.2,1010.1,8.8,55,32,2.1,3.8,NA,15.3
"2011-11",10.7,1012.3,8.4,61,56.2,2.7,6,NA,10.2
"2011-12",-0.9,1016.7,3.1,51,7.1,2.6,3.9,3.2,-0.5
"2012-01",-2.8,1015.1,2.6,49,6.7,2.5,3.6,9.6,-2.3
"2012-02",-2,1013,2.4,43,0.8,2.9,3.4,0.7,-0.7
"2012-03",5.1,1008.9,4.6,52,47.4,3.5,5.2,0,6.2
"2012-04",12.3,1002.8,7.7,54,157,3.4,4.6,NA,14.5
"2012-05",19.7,1001,10.6,48,8.2,2.7,4.3,NA,24
"2012-06",24.1,997.3,15.7,54,91.9,2.8,5.4,NA,29.7
"2012-07",25.4,996,23.6,74,448.9,2.7,7.4,NA,26.9
"2012-08",27.1,999.1,23.8,68,464.9,3,6.8,NA,28.3
"2012-09",21,1003.6,15.9,65,212,2.3,5.6,NA,22.1
"2012-10",15.3,1008,10.1,58,99.3,2.3,3.6,NA,16.2
"2012-11",5.5,1008.7,5.3,57,67.8,2.7,4.5,NA,5.3
"2012-12",-4.1,1013.6,2.8,57,41.4,2.7,3.5,23,-1.9
"2013-01",-3.4,1015.3,3,57,22.1,2.7,4.3,6.1,-2
"2013-02",-1.2,1014.2,3.2,54,74.1,2.9,4.7,24.9,0.4
"2013-03",5.1,1007.3,4.3,49,27.3,3,3.3,NA,7
"2013-04",10,1002.6,6.5,54,71.7,3.4,5,NA,11.5
"2013-05",18.2,1001.5,11.6,58,132,2.9,4.7,NA,20.2
"2013-06",24.4,998,17.8,60,28.3,2.2,5.4,NA,28.2
"2013-07",25.5,995.3,25.6,79,676.2,3.4,8.5,NA,26.4
"2013-08",27.7,996.8,25.4,69,148.6,2.8,6.2,NA,29.5
"2013-09",21.8,1005,16.2,63,138.5,2.2,5.5,NA,24.1
"2013-10",15.8,1010,10.6,59,13.5,2.5,2.9,NA,16.4
"2013-11",6.2,1009.6,5.9,58,46.8,2.7,3.9,NA,5.8
"2013-12",-0.2,1011.3,3.8,60,24.7,2.4,4,13.5,0.4
"2014-01",-0.7,1014.3,3.1,50,13,2.4,3.4,8,-0.9
"2014-02",1.9,1014.4,3.8,52,16.2,2.7,4,6.6,2.1
"2014-03",7.9,1009.1,6.7,60,7.2,3,3.9,2.1,9.4
"2014-04",14,1006.8,9.2,60,31,2.8,4.7,NA,17.9
"2014-05",18.9,1000.5,12.6,59,63,3.2,3.2,NA,23.3
"2014-06",23.1,996.4,20,73,98.1,2.6,6.7,NA,25.9
"2014-07",26.1,997.2,24.6,74,207.9,2.8,6.8,NA,29.2
"2014-08",25.2,998.3,24.2,77,172.8,2.4,7.1,NA,26.6
"2014-09",22.1,1003.3,17.8,69,88.1,2.1,4.9,NA,24.9
"2014-10",15.6,1009.5,11.1,63,52.2,2.4,3.3,NA,16.8
"2014-11",9,1011,7.1,61,41.5,2.5,4.3,NA,8.5
"2014-12",-2.9,1013.5,2.9,56,17.9,2.8,3.4,8.6,-1.3
"2015-01",-0.9,1013.8,3.4,56,11.3,2.6,3.9,5.1,-0.4
"2015-02",1,1011.4,4.1,59,22.7,2.9,4.5,0.3,2
"2015-03",6.3,1010.7,4.4,45,9.6,3.1,2.8,NA,7.8
"2015-04",13.3,1005.5,8,55,80.5,3.1,5,NA,14.9
"2015-05",18.9,999.4,11,53,28.9,3,4.1,NA,23.8
"2015-06",23.6,996.9,16.8,60,99,2.5,5.6,NA,27.6
"2015-07",25.8,996.8,23.4,71,226,2.8,7,NA,27.9
"2015-08",26.3,998.5,23.5,70,72.9,2.4,5.6,NA,28
"2015-09",22.4,1004.1,14.8,56,26,2.3,3.8,NA,25.1
"2015-10",15.5,1008.2,10.8,61,81.5,2.3,2.8,NA,16.3
"2015-11",8.9,1012.9,8.6,74,104.6,2.7,6.6,NA,9.5
"2015-12",1.6,1014.8,4.3,60,29.1,2.3,4.1,7.5,2.2
"2016-01",-3.2,1014.5,2.8,53,1,2.5,4,1.4,-1.4
"2016-02",0.2,1013.3,3.5,52,47.6,2.8,3.7,6.5,1.1
"2016-03",7,1010.9,5.2,51,40.5,2.4,3.6,NA,9.1
"2016-04",14.1,1003.2,8.3,55,76.8,2.4,4.8,NA,17
"2016-05",19.6,1001.3,12,56,160.5,2.4,4.6,NA,23.2
"2016-06",23.6,997.6,17.9,63,54.4,2.1,5.3,NA,28.2
"2016-07",26.2,997.8,24.4,73,358.2,2.1,7.2,NA,28.3
"2016-08",28,996,24,64,67.1,2.1,4.6,NA,31.9
"2016-09",23.1,1003.3,18,65,33,2,5.8,NA,24.9
"2016-10",16.1,1009,11.7,62,74.8,2.1,5.3,NA,17
"2016-11",6.8,1012.6,6.2,57,16.7,2.2,4.7,0.9,7.2
"2016-12",1.2,1014.2,4.2,59,61.1,2.2,4.7,1.5,1.6
"2017-01",-1.8,1014.7,3.2,55,14.9,2.3,3.5,14.3,-0.7
"2017-02",-0.2,1012.6,3.3,54,11.1,2.4,2.8,NA,1
"2017-03",6.3,1009,4.5,48,7.9,2.4,3.9,NA,8.1
"2017-04",13.9,1002.6,8,52,61.6,2.6,4.4,NA,16.9
"2017-05",19.5,1002,11.4,52,16.1,2.4,3.9,NA,25
"2017-06",23.3,998.4,15.7,57,66.6,2.4,4.7,NA,28.6
"2017-07",26.9,997.5,26.9,77,621,2,7.9,NA,28.3
"2017-08",25.9,997.7,23.7,71,297,2.3,7,NA,27.7
"2017-09",22.1,1003.1,16,61,35,2,4.2,NA,24.2
"2017-10",16.4,1010.7,10.7,56,26.5,1.9,4.5,NA,16.8
"2017-11",5.6,1012.4,5.4,54,40.7,2.1,4.2,1.5,5.4
"2017-12",-1.9,1015.1,3.3,56,34.8,1.8,3.9,12.8,-1.5
